Designator,Mid X,Mid Y,Layer,Rotation
C1,92.71,-34.29,T,180.0
C2,92.71,-39.37,T,180.0
C3,103.752651,-45.55,T,180.0
C4,110.49,-40.64,T,0.0
C5,116.84,-34.29,T,90.0
C6,111.76,-48.26,T,0.0
C7,111.76,-34.29,T,90.0
C8,100.1,-54.0,T,90.0
D1,92.71,-44.45,T,270.0
D2,119.38,-43.18,T,270.0
D3,123.19,-40.64,T,270.0
J1,93.98,-53.34,T,180.0
J2,83.82,-43.18,T,270.0
J3,138.43,-33.02,T,0.0
J4,138.43,-53.34,T,180.0
K1,135.9,-43.39,T,0.0
Q1,123.19,-46.99,T,180.0
R1,116.84,-43.18,T,270.0
R2,108.585,-48.7425,T,270.0
R3,119.38,-45.72,T,180.0
R4,119.38,-39.37,T,270.0
RV1,105.96,-53.34,T,180.0
U1,102.87,-35.56,T,90.0
U2,111.76,-44.45,T,90.0
